,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,BHK,0.0008069910680591287,0.0011130080366582445,0.002783896268387126,0.0012154172150791976,0.0068664805938715165,0.008318771319200806,2021-12-01
1,BTZ,0.0026390558403892616,0.0021207667337225134,0.0037685467319531684,0.0023159009750484795,0.006768058937957332,0.009279012366322541,2021-12-01
2,FAM,0.005210095084511379,0.004379310738105514,0.005065487251691421,0.003382494727770887,0.0067017805681456625,0.008456342144107242,2021-12-01
3,IHIT,0.0015603958878691014,0.002557739046459905,0.004795804281255771,0.0018927126150329401,0.005808478078404804,0.007312642552607161,2021-12-01
4,IHTA,0.001348313212547008,0.002295271154937485,0.003744157971884741,0.001698487840612283,0.006230043110373123,0.007856006222337496,2021-12-01
5,PIM,0.0024152781814936416,0.0016528396398938585,0.004288098587462883,0.002444710038643517,0.005911785975125324,0.007233905242628771,2021-12-01
6,PPT,0.0014659237341896143,0.0012923221810257227,0.0037687297206410292,0.0019114697716943391,0.00472798105035273,0.004289731789053392,2021-12-01
7,HYB,0.0010649738103645989,0.0013894318998563728,0.0023164738018234023,0.001370474773794332,0.002711146174374857,0.003163843144219219,2021-12-01
8,JEMD,0.0022618607647295454,0.0024387273690152735,0.0017201260625236909,0.001756658492737986,0.00569209623703544,0.0075550166947008675,2021-12-01
9,DMO,0.0009594915003617082,0.0016538547807605673,0.0021356182909398496,0.0012550064146161775,0.00765509054887055,0.009932411365405056,2021-12-01
10,JLS,0.003229718210186726,0.0026098487045877992,0.00413897719346846,0.002694986188390222,0.007253569196928398,0.009523747053755116,2021-12-01
11,WEA,0.004315764020511768,0.002341730669340794,0.005867246025148095,0.003345005942449074,0.006595818903940355,0.007760941079081778,2021-12-01
12,PAI,0.00044941835184401436,0.0007798104037265968,0.003341392636545678,0.0011139071066543157,-0.0016880014208564768,-0.0046868565076000025,2021-12-01
13,FMN,0.001100038888236593,0.0017119461556425603,0.0017946904301810059,0.0008843358337118658,0.002057668657723654,0.001979241213334041,2021-12-01
14,NKG,0.003135130340201308,0.003690146332236261,0.0031201954898221504,0.0019062098550711038,0.005574416612446715,0.006110584864980547,2021-12-01
15,NAZ,0.003070684017009505,0.0028308325162855275,0.00415769636064038,0.0019465273802647966,0.0033785909316373366,0.002689027909192493,2021-12-01
16,MPA,0.002063133868134916,0.0017173313599697813,0.0026321768943453863,0.0016009416853934113,0.004490074568876193,0.0035317783845706862,2021-12-01
17,MHF,0.0007340744328045708,0.0009123487451646426,0.001429199703673867,0.0008505156149807618,0.006943105302424469,0.0070086458924629525,2021-12-01
18,NXP,0.0033283566433499963,0.0034896256621720825,0.0017620622040791234,0.001759199439509643,0.0049531391431558375,0.005518832888276675,2021-12-01
19,MIY,0.0038617091927064286,0.004036615953961002,0.005440684031783755,0.0021921246880462937,0.0054919084710445725,0.006983818925472881,2021-12-01
20,SBI,0.006423613557129737,0.005737336068506482,0.007035488214205107,0.0031157177652855876,0.009216766860357535,0.012561161344714394,2021-12-01
21,BWG,0.001732991254185946,0.002019316801283039,0.0033382219797198913,0.0017312146958592552,0.001200117344519854,-0.0011325998785709018,2021-12-01
22,PCF,0.0003891675243993466,0.0006667661316791671,0.001404553735935517,0.000571636567937616,0.00406795266324497,0.004844170585309249,2021-12-01
23,DCF,0.0013300265129627471,0.0018912232937649085,0.001781984085086768,0.001345767122812432,0.004026617826308977,0.004612124349850034,2021-12-01
24,PNF,0.0007571168993488394,0.0013060399589501788,0.0018340862330364159,0.0009950122992875487,0.0010749046968871118,0.0007832111272699018,2021-12-01
25,PNI,0.0008018829304520084,0.0013588548492654581,0.0017416787441351415,0.0010352495562635663,0.000754078420664039,-0.0013265382106095124,2021-12-01
26,OPP,0.0008739848116560841,0.001050563199805532,0.0016499612628766002,0.0013689112213238744,0.005500577019609697,0.008355247706882143,2021-12-01
27,PCQ,0.0009543885230228167,0.0007365518997688818,0.0016822491573933865,0.0016104232887362208,0.002829123601298163,0.005370731632007067,2021-12-01
28,TAC,9.839243800270876e-05,0.00018356075231736247,0.0008554313445993335,0.00040134376209277265,-0.002005308521106154,-0.0032594308902484585,2021-12-01
29,DHF,0.000391058047144829,0.0005001669693933255,0.0014212325850462915,0.0008673504893529053,-0.001389948498329367,-0.0023418072354317466,2021-12-01
30,BEP,5.976695085908897e-05,0.00013404570289890592,0.0006440026093420788,0.0003860043733800609,-0.0008830723104390664,-0.0015197972459308144,2021-12-01
31,GCV,0.00019966111827403682,0.0003008244536587858,0.0014789720107304682,0.0008662683862349054,0.0007147789680367459,-0.00010045024650757683,2021-12-01
32,FICO,1.815389080015412e-05,5.424603289395683e-05,0.0005175636895887296,0.000276902174283267,-0.0017976319655599792,-0.000519917935677841,2021-12-01
33,CMG,2.998506307545264e-05,5.2096662378634286e-05,0.00031821769072219014,0.0003822799884705575,0.0033693878234018473,0.0016935517024646908,2021-12-01
34,PAYC,8.777196594755843e-06,2.757713617103615e-05,0.000168447117116614,0.00020235820907095627,-0.00327211586785225,-0.004620721519797499,2021-12-01
35,GLOB,2.2881547058120313e-06,2.8024918248758502e-05,9.177272001913568e-05,0.00014303020646556575,0.003982628066947967,0.004355153218292927,2021-12-01
36,INFY,3.647163510401754e-05,7.789750598668685e-05,0.0005666174864209525,0.00039756392027734215,0.001372943785310714,0.003088668023834951,2021-12-01
37,MXE,0.00011764637541806918,0.0002622838415012118,0.0004630592873472839,0.0004972299674736724,-0.000497834997415605,-0.002564071203933377,2021-12-01
38,SWZ,0.0006599428944122744,0.0005710787125409626,0.0007622451837747379,0.0015063292955857172,0.00313472730538347,0.005593864893643973,2021-12-01
39,THW,0.00034400768497606736,0.0003874806048671944,0.0007524735362823898,0.0010220541823135502,0.0007824480877427639,0.004095117895492795,2021-12-01
40,GDL,0.008779956798477028,0.004101978883682411,0.0027076378435309076,0.0032219846840779135,0.008306015827166701,0.00904011563913569,2021-12-01
41,TBB,0.01480072198765047,0.00481384461031883,0.00969424086409389,0.005824306908137586,0.010493048875897169,0.014139733230640023,2021-12-01
42,SOJC,0.005849586547938453,0.003214335128514434,0.006149158312813015,0.003889048319911596,0.006460809580797756,0.007629508626805414,2021-12-01
43,EVF,0.002448442603053028,0.001440353772111262,0.002261210661677593,0.0018422942893619291,0.00275518863512229,0.00401479322765903,2021-12-01
44,EFT,0.0010423875226326948,0.000662689984865807,0.0015888256433213921,0.0012944766531886014,0.0015163510643387893,0.0011013119805986914,2021-12-01
45,EFR,0.0011050065965432269,0.0006812188317729956,0.0017150906044273502,0.0013306702886435244,0.002852716764566159,0.0028485966393023052,2021-12-01
46,HYI,0.004558278721661588,0.002767915645804084,0.003934236431413389,0.0024070023896551832,0.005823696868731119,0.007151486132004359,2021-12-01
47,DMB,0.001081495544195822,0.0010480284206497562,0.0015203241002631175,0.0008623636635835442,0.0005631023363042912,-3.874635993804872e-05,2021-12-01
48,GDO,0.004241347916214464,0.0027596239427656734,0.004231306186172468,0.0022707393869346067,0.005520151809284739,0.005741158407780122,2021-12-01
49,MFV,0.0003215378121291706,0.000787654510582351,0.0010464859297200319,0.0006548129892577193,-0.0006588811422578944,0.0007921640117894599,2021-12-01
50,WLKP,0.0002914598174691135,0.000732144747907576,0.000470050501336509,0.0006086652009295834,0.005487272178311423,0.006773767308132666,2021-12-01
51,NIQ,0.012397473084309264,0.007623130660470281,0.008317411961428765,0.003830763719074033,0.009177792406612999,0.012009419139924843,2021-12-01
52,MHLA,0.0014055010385690837,0.0014879678950103648,0.0011153342819636848,0.001427013058429901,0.003770578785433066,0.00492597170271961,2021-12-01
53,MHNC,0.0033874446701869726,0.002441938181893831,0.0028854588890291958,0.002341903803923669,0.0019393206602203767,0.0003962288740235542,2021-12-01
54,ENO,0.026357198259868053,0.010650264550205091,0.008741115160568878,0.007228752131356085,0.011417667242346476,0.014525526242724636,2021-12-01
55,ECC           ,-6.377820552143433e-05,0.0006697583519840162,0.0004643108386601405,0.0004543615382678292,-0.008746548802174415,-0.011028854867493578,2021-12-01
56,GIM,-0.0009067731302265877,0.003338313712295205,0.003810075381035739,0.002264699423375366,0.005790675359273889,0.008490289184681588,2021-12-01
57,BSL,-0.000531373620619212,0.002762892274221858,0.0025223004889404215,0.0015195743263340651,7.671315610323415e-05,-0.00277876939241555,2021-12-01
58,EFL,-0.000629295584587245,0.001504844639054649,0.0019225811739903976,0.002120287178148352,0.0023670745038979935,0.001872237338378413,2021-12-01
59,JCO,-0.0009498692605403548,0.001968815365844558,0.001147179957338434,0.002774009932988223,0.005406454692247239,0.006794621356355657,2021-12-01
60,ARGD,-0.00015698849340541616,0.0004584219412875329,0.0008026554363102476,0.0019409109606983424,0.00788581985015228,0.01049818369594755,2021-12-01
61,VVR,-0.00012957631049075684,0.00042708091176181095,0.0005233021669233728,0.0018082162917756551,0.0013386063667566786,0.0016976850500846458,2021-12-01
62,ECCY,-0.000817131685476394,0.0007079283925288914,0.0015323375981774134,0.0027525494752014203,0.007384512629391096,0.00931575092595881,2021-12-01
63,AIC,0.00011827324234062002,9.345354401479655e-05,0.0004215119729058605,0.0005874972152555689,0.004959170491719571,0.006276669099812966,2021-12-01
64,TPVG,-1.6706358476977163e-05,3.0389707786238916e-05,0.00016261446716739477,0.0001910453892900951,-0.001627033439862907,-0.0021204826452689857,2021-12-01
65,FPF,-7.85005834067727e-05,0.00036207484820901815,0.0004574887478238033,0.0015619070672248316,-0.002061006404393844,-0.0033423021491422885,2021-12-01
66,CTBB,-0.0004376472626028801,0.00022648152147293398,0.0008054109684407683,0.0027830139578280395,-0.0011661679316285042,-0.0011727978752180518,2021-12-01
